Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
Average:     all   20.28    0.00    1.50    3.50    0.00    0.00    0.00    0.00   74.72
Average:       0   81.00    0.00    6.00   12.50    0.00    0.00    0.50    0.00    0.00
Average:       1    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   98.99
Average:       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
Average:     all    7.91    0.00   12.56   12.69    0.00    0.00    0.00    0.00   66.83
Average:       0   24.50    0.00   40.00   18.50    0.00    0.00    0.00    0.00   17.00
Average:       1    7.00    0.00    9.00    0.50    0.00    0.00    0.00    0.00   83.50
Average:       2    0.00    0.00    0.00   32.16    0.00    0.00    0.00    0.00   67.84
Average:       3    0.00    0.00    1.50    0.00    0.00    0.00    0.00    0.00   98.50
